sigma,chi_inf,Seed,Closure,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms
0.0015,0.045,0,mean_only,0.9999701564069507,0.9999701564069507,2.9843593049250217e-05,1.59092977873379e-05,2.984359304586399e-05,11.155485407001834,2.0,False,0.001,0.0001,2.0,-0.2335163976206198,0.2472118880091363,0.08114067793240543,0.10852130383405464,2.2780032977410625,0.7476935409519379,7.358920000000001,7.125403602379381
0.0015,0.045,0,variance_corrected,0.9999841253383184,0.9999841253383184,1.5874661681625213e-05,9.58747356252301e-06,1.587466167916362e-05,11.579235445002269,2.0,True,0.001,0.0001,2.0,0.06760321028605355,0.10534430195856505,0.08079126137248356,0.10852130383405464,0.9707246249054683,0.7444737440311768,7.358920000000001,7.426523210286056
0.0015,0.045,1,mean_only,0.99997015124752,0.99997015124752,2.9848752480021723e-05,1.595990349421427e-05,2.9848752478722578e-05,10.77049027099929,2.0,False,0.001,0.0001,2.0,-0.22626931723769536,0.24390009248002298,0.09104642326061431,0.10303170586006583,2.367233371941641,0.8836738409851282,7.350120000000001,7.123850682762306
0.0015,0.045,1,variance_corrected,0.9999841225021662,0.9999841225021662,1.5877497833827192e-05,9.667640772786638e-06,1.5877497831164547e-05,10.941982738997467,2.0,True,0.001,0.0001,2.0,0.07479197811226587,0.11783229146092153,0.09105278096239514,0.10303170586006583,1.1436507866904326,0.883735547250474,7.350120000000001,7.424911978112268
0.0015,0.045,2,mean_only,0.9999701865343451,0.9999701865343451,2.981346565489318e-05,1.6197140164268068e-05,2.981346565352375e-05,10.709638921998703,2.0,False,0.001,0.0001,2.0,-0.25655862940394303,0.27166967390177543,0.0893424949073351,0.10294234039203962,2.6390469933670095,0.8678887090296213,7.3781,7.121541370596058
0.0015,0.045,2,variance_corrected,0.9999841421546405,0.9999841421546405,1.5857845359512623e-05,9.768109927341203e-06,1.585784535803162e-05,10.939791064000019,2.0,True,0.001,0.0001,2.0,0.0444115707437701,0.09988430936494562,0.08946780226083163,0.10294234039203962,0.9702937487583052,0.8691059667004623,7.3781,7.422511570743771
0.003,0.18,0,mean_only,0.9999701564069507,0.9999701564069507,2.9843593049250217e-05,1.59092977873379e-05,2.984359304586399e-05,10.571078240998759,2.0,False,0.001,0.0001,2.0,-1.00509639762062,1.0087451115497854,0.08572007679442015,0.1134548834094445,8.891156389534599,0.7555432980797054,8.1305,7.125403602379381
0.003,0.18,0,variance_corrected,0.9999980253686142,0.9999980253686142,1.974631385848191e-06,1.8371342598911185e-06,1.9746313830855712e-06,10.771693169001082,2.0,True,0.001,0.0001,2.0,0.2672653843404407,0.2802916470945262,0.0844548504487392,0.1134548834094445,2.470511966267584,0.7443914965207111,8.1305,8.397765384340444
0.003,0.18,1,mean_only,0.99997015124752,0.99997015124752,2.9848752480021723e-05,1.595990349421427e-05,2.9848752478722578e-05,10.714711955999519,2.0,False,0.001,0.0001,2.0,-0.9971293172376955,1.001220441250883,0.09041845322554394,0.1059696743969632,9.448178895976444,0.8532483820497149,8.120980000000001,7.123850682762306
0.003,0.18,1,variance_corrected,0.9999980249788364,0.9999980249788364,1.9750211636138104e-06,1.857957691385231e-06,1.975021161757521e-06,10.98238150600082,2.0,True,0.001,0.0001,2.0,0.27499073204709623,0.28935548273928263,0.090037173875491,0.1059696743969632,2.7305498897293465,0.8496503776940095,8.120980000000001,8.395970732047095
0.003,0.18,2,mean_only,0.9999701865343451,0.9999701865343451,2.981346565489318e-05,1.6197140164268068e-05,2.981346565352375e-05,11.316056325998943,2.0,False,0.001,0.0001,2.0,-1.024478629403943,1.0291881618646759,0.09834536296647799,0.11425148360381018,9.008094506970178,0.8607797453861532,8.146020000000002,7.121541370596058
0.003,0.18,2,variance_corrected,0.999998027782919,0.999998027782919,1.9722170809810535e-06,1.8575612803206991e-06,1.972217078775242e-06,10.982825929000683,2.0,True,0.001,0.0001,2.0,0.24726087385267087,0.266159937014548,0.09850468178316056,0.11425148360381018,2.3295972062604515,0.8621742026978415,8.146020000000002,8.393280873852673
0.0045,0.4049999999999999,0,mean_only,0.9999701564069507,0.9999701564069507,2.9843593049250217e-05,1.59092977873379e-05,2.984359304586399e-05,11.009517538001091,2.0,False,0.001,0.0001,2.0,-2.3791363976206217,2.3812952078141167,0.10137488976689264,0.1305487014783106,18.24066559719666,0.7765292846190055,9.50454,7.125403602379381
0.0045,0.4049999999999999,0,variance_corrected,0.9999999704148536,0.9999999704148536,2.958514644380017e-08,6.758052173910897e-08,2.958514266932163e-08,10.954277242999524,2.0,True,0.001,0.0001,2.0,0.7539524122501019,0.7602917838107163,0.0979763062803096,0.1305487014783106,5.823817281989828,0.7504962145991732,9.50454,10.258492412250103
