age_center,mc_variance,theory_variance,count
0.0025,8.8610584614057e-08,1.990792952357356e-08,2097
0.0075,9.061347077285023e-08,4.7487010253308674e-08,1981
0.0125,9.570154043668498e-08,6.421456828258289e-08,1906
0.017499999999999998,8.89529757568803e-08,7.436034508945993e-08,1865
0.0225,8.780264963480893e-08,8.05140697894322e-08,1690
0.0275,8.458257881167401e-08,8.424649249139631e-08,1679
0.0325,8.676248056267042e-08,8.651032129514502e-08,1664
0.037500000000000006,8.46305706479798e-08,8.788340287295918e-08,1478
0.0425,9.047054474905629e-08,8.871621894819006e-08,1465
0.0475,8.618518433285527e-08,8.922134743171914e-08,1290
0.052500000000000005,8.932114525424203e-08,8.952772334407367e-08,1298
0.0575,8.283477234379786e-08,8.971354972831413e-08,1232
0.0625,9.245248373299466e-08,8.98262591277395e-08,1185
0.0675,8.841253933062857e-08,8.98946208341288e-08,1173
0.07250000000000001,7.73761325044174e-08,8.993608430500417e-08,1089
0.0775,9.561492325565941e-08,8.996123317134818e-08,1097
0.0825,8.645811376018571e-08,8.997648672984286e-08,1104
0.08750000000000001,8.747124360270914e-08,8.998573848073958e-08,999
0.0925,8.707944836370112e-08,8.999134995131448e-08,968
0.0975,8.77860131990144e-08,8.999475348026422e-08,891
0.10250000000000001,9.18816877008059e-08,8.999681782492346e-08,860
0.1075,9.816693284054805e-08,8.99980699132515e-08,831
0.1125,8.945533888033664e-08,8.999882934321113e-08,796
0.11750000000000001,9.22090343730714e-08,8.999928996076554e-08,787
0.1225,9.31796464404349e-08,8.999956933943471e-08,785
0.1275,8.721261314051426e-08,8.999973879116322e-08,694
0.1325,9.074503589995479e-08,8.99998415688319e-08,747
0.1375,8.544974018008673e-08,8.99999039066391e-08,657
0.14250000000000002,8.465942516194959e-08,8.999994171643042e-08,655
0.1475,8.799325625321579e-08,8.999996464922808e-08,610
0.1525,8.631560989122256e-08,8.999997855867299e-08,614
0.1575,8.320874103188787e-08,8.999998699517778e-08,568
0.1625,8.052050221014512e-08,8.99999921121766e-08,530
0.1675,9.751385692610895e-08,8.999999521579327e-08,563
0.17250000000000001,8.432540535947363e-08,8.999999709823193e-08,510
0.17750000000000002,8.767728257516903e-08,8.99999982399887e-08,483
0.1825,8.32817225744505e-08,8.999999893249918e-08,462
0.1875,9.754528815610672e-08,8.999999935252803e-08,443
0.1925,9.348134023795635e-08,8.999999960728839e-08,447
0.1975,1.0285648926966392e-07,8.999999976180838e-08,427
0.2025,8.791862204444988e-08,8.999999985552948e-08,414
0.20750000000000002,8.704820112932646e-08,8.999999991237419e-08,388
0.2125,8.324421942838595e-08,8.999999994685227e-08,363
0.2175,8.810064676358092e-08,8.999999996776427e-08,350
0.2225,8.561043875399334e-08,8.999999998044804e-08,306
0.2275,8.204941178209206e-08,8.999999998814114e-08,307
0.2325,7.801912625221512e-08,8.999999999280723e-08,295
0.23750000000000002,7.91531252723831e-08,8.999999999563737e-08,289
0.2425,8.845420599949351e-08,8.999999999735392e-08,281
0.2475,8.577087944913024e-08,8.999999999839507e-08,255
0.2525,8.641922463604149e-08,8.999999999902657e-08,244
0.2575,8.252874367753206e-08,8.999999999940958e-08,249
0.2625,9.554385952198603e-08,8.999999999964189e-08,233
0.2675,9.784328910048699e-08,8.999999999978279e-08,223
0.2725,1.0488294849031307e-07,8.999999999986826e-08,198
0.2775,8.721222138848964e-08,8.999999999992009e-08,226
0.28250000000000003,7.732416343790179e-08,8.999999999995153e-08,188
0.28750000000000003,6.346473169291322e-08,8.99999999999706e-08,189
0.2925,8.639223771588957e-08,8.999999999998217e-08,170
0.2975,9.238551640814081e-08,8.999999999998919e-08,182
0.3025,8.254574403513141e-08,8.999999999999345e-08,183
0.3075,1.02802362417756e-07,8.999999999999603e-08,172
0.3125,1.0352221786750352e-07,8.999999999999759e-08,136
0.3175,7.8328807867669e-08,8.999999999999854e-08,145
0.3225,8.891525528216965e-08,8.999999999999911e-08,146
0.3275,9.784806248572909e-08,8.999999999999946e-08,137
0.3325,9.11272228199002e-08,8.999999999999967e-08,132
0.3375,8.769918516658637e-08,8.99999999999998e-08,127
0.3425,9.308288037585412e-08,8.999999999999988e-08,113
0.34750000000000003,6.587209495382781e-08,8.999999999999993e-08,112
0.35250000000000004,9.09342362074733e-08,8.999999999999996e-08,109
0.3575,7.531569119711234e-08,8.999999999999997e-08,109
0.3625,7.799732502410487e-08,8.999999999999997e-08,111
0.3675,,8.999999999999999e-08,0
0.3725,,8.999999999999999e-08,0
0.3775,,9e-08,0
0.3825,,9e-08,0
0.3875,,9e-08,0
0.3925,,9e-08,0
0.3975,,9e-08,0
0.4025,,9e-08,0
0.40750000000000003,,9e-08,0
0.41250000000000003,,9e-08,0
0.41750000000000004,,9e-08,0
0.4225,,9e-08,0
0.4275,,9e-08,0
0.4325,,9e-08,0
0.4375,,9e-08,0
0.4425,,9e-08,0
0.4475,,9e-08,0
0.4525,,9e-08,0
0.4575,,9e-08,0
0.4625,,9e-08,0
0.4675,,9e-08,0
0.47250000000000003,,9e-08,0
0.47750000000000004,,9e-08,0
0.4825,,9e-08,0
0.4875,,9e-08,0
0.4925,,9e-08,0
0.4975,,9e-08,0
