Method,resolution,replicate,runtime_s,state_memory_mb,bias_hz,rmse_hz,crmse_hz,mc_std_hz,nrmse,centered_nrmse,mc_mean_hz,closure_mean_hz
MC,1000.0,0,0.6176201310008764,0.024,-0.12137227221928043,0.2172942071745413,0.18023746560563192,0.052652089150872335,4.1269816768693435,3.4231778550926837,8.125607317216636,8.004235044997353
MC,1000.0,1,0.6308608390027075,0.024,0.16155226163166905,0.2619536401247442,0.20620518018783318,0.052652089150872335,4.975180365096761,3.9163722373287215,8.125607317216636,8.287159578848303
MC,5000.0,0,2.673694542998419,0.12,-0.03631845185577188,0.10373954240332621,0.09717439329808805,0.052652089150872335,1.97028349826851,1.8455942559019631,8.125607317216636,8.089288865360864
MC,5000.0,1,2.6396602029999485,0.12,-0.02843656255514245,0.09916923223352404,0.0950047289972141,0.052652089150872335,1.883481431275382,1.8043866925200645,8.125607317216636,8.097170754661494
MC,20000.0,0,10.445475102998898,0.48,-0.007261337568377311,0.05748898196232025,0.057028554459867355,0.052652089150872335,1.0918651641264985,1.08312044934161,8.125607317216636,8.118345979648259
MC,20000.0,1,10.459056371997576,0.48,-0.026613140403504505,0.04236157381129292,0.032958211323325395,0.052652089150872335,0.8045563717311885,0.6259620815592908,8.125607317216636,8.098994176813129
MC,50000.0,0,26.112105793999945,1.2,-0.014049173578024498,0.026236708488993968,0.0221581947394409,0.052652089150872335,0.49830327556070547,0.4208417006198468,8.125607317216636,8.111558143638609
MC,50000.0,1,25.813018545999512,1.2,-0.004979118875359917,0.023151701027169524,0.022609945503615815,0.052652089150872335,0.4397109668493743,0.42942162159658986,8.125607317216636,8.120628198341274
PDE,0.002,0,1.2243321700007073,0.024024,0.1916900780170631,0.192118210700738,0.01281877032579314,0.052652089150872335,3.648824078950246,0.24346176063520472,8.125607317216636,8.317297395233698
PDE,0.001,0,1.6218417849995603,0.048024,0.257671831579686,0.2579806726120689,0.012619613771641723,0.052652089150872335,4.899723387477299,0.2396792601235775,8.125607317216636,8.383279148796321
PDE,0.0005,0,2.4553601289990183,0.096024,0.25924978336477633,0.25955651664763435,0.012614878500018327,0.052652089150872335,4.929652760859804,0.23958932500989516,8.125607317216636,8.384857100581412
