chi_target,theta1,sigma,Seed,Closure,mc_mean_hz,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max
0.045,1500.0,0.002,0,mean_only,7.3715333333333355,-0.25226064864289727,0.26608093554210804,0.08463822661911201,0.1073985015508916,2.4775106886945117,0.7880764200327836,7.3715333333333355,7.1192726846904355,0.9999818568591802,0.9999818568591802,1.8143140819826264e-05,1.5972814665110584e-05,1.8143140818223732e-05,6.5282973060020595,2.0,False,0.001,0.0001,2.0
0.045,1500.0,0.002,0,variance_corrected,7.3715333333333355,0.0486032295136413,0.09721565772679006,0.08419388450532912,0.1073985015508916,0.9051863510472133,0.7839390986794467,7.3715333333333355,7.4201365628469755,0.99999035109276,0.99999035109276,9.648907239978577e-06,9.676943278013398e-06,9.648907238275453e-06,6.571391245997802,2.0,True,0.001,0.0001,2.0
0.045,1500.0,0.002,1,mean_only,7.365900000000001,-0.24170791954926746,0.26154473588318783,0.0999146160247406,0.10231563340406048,2.556253889865556,0.9765332305588346,7.365900000000001,7.124192080450734,0.9999818561296383,0.9999818561296383,1.8143870361697623e-05,1.6238835528957188e-05,1.8143870359662365e-05,6.431286497001565,2.0,False,0.001,0.0001,2.0
0.045,1500.0,0.002,1,variance_corrected,7.365900000000001,0.05934717155163305,0.11641588887183225,0.100152745397417,0.10231563340406048,1.1378113490446533,0.9788606302411099,7.365900000000001,7.425247171551633,0.9999903505385126,0.9999903505385126,9.64946148740431e-06,9.794261288242895e-06,9.649461485895893e-06,6.65785258699907,2.0,True,0.001,0.0001,2.0
0.045,2000.0,0.0015,0,mean_only,7.370766666666667,-0.24687798439035372,0.2598479239667041,0.08106913354145509,0.09364422837776264,2.7748418505673675,0.8657141496689004,7.370766666666667,7.1238886822763146,0.9999819119466108,0.9999819119466108,1.8088053389209158e-05,1.594438373623089e-05,1.808805338844543e-05,6.516247266998107,2.0,False,0.001,0.0001,2.0
0.045,2000.0,0.0015,0,variance_corrected,7.370766666666667,0.05416362108816776,0.09771820351257068,0.0813335690126873,0.09364422837776264,1.0435048182400901,0.8685379806279796,7.370766666666667,7.424930287754836,0.9999903817066973,0.9999903817066973,9.618293302704473e-06,9.658862151055022e-06,9.61829330061021e-06,6.545402782001474,2.0,True,0.001,0.0001,2.0
0.045,2000.0,0.0015,1,mean_only,7.358333333333334,-0.23511830092822184,0.25600357058107515,0.10127789847190584,0.12117844494862676,2.112616403763946,0.8357748650334826,7.358333333333334,7.1232150324051124,0.9999819328255126,0.9999819328255126,1.806717448737949e-05,1.582533803829804e-05,1.806717448543053e-05,6.370462288999988,2.0,False,0.001,0.0001,2.0
0.045,2000.0,0.0015,1,variance_corrected,7.358333333333334,0.06589684977520342,0.12054597653273517,0.10094026772272309,0.12117844494862676,0.9947806854910565,0.8329886372573638,7.358333333333334,7.424230183108538,0.9999903932827142,0.9999903932827142,9.606717285781663e-06,9.535508825400326e-06,9.606717285248595e-06,6.619465481999214,2.0,True,0.001,0.0001,2.0
0.045,2500.0,0.0012,0,mean_only,7.380866666666669,-0.24997383654163416,0.2631292644281161,0.08215893647764567,0.11078331809256352,2.3751704585004574,0.7416183040211783,7.380866666666669,7.130892830125033,0.999981902463064,0.999981902463064,1.8097536936045877e-05,1.6328079486457506e-05,1.809753693539503e-05,6.504391204001877,2.0,False,0.001,0.0001,2.0
0.045,2500.0,0.0012,0,variance_corrected,7.380866666666669,0.05133722110503074,0.09680908277148866,0.08207611245831596,0.11078331809256352,0.8738597510737233,0.7408706822604678,7.380866666666669,7.432203887771698,0.9999903765748712,0.9999903765748712,9.623425128779672e-06,9.901161201632869e-06,9.623425126988228e-06,6.622570463001466,2.0,True,0.001,0.0001,2.0
