chi_target,theta1,sigma,Seed,mean_only,variance_corrected,rmse_improvement_factor
0.045,1500.0,0.002,0,0.26608093554210804,0.09721565772679006,2.7370172847041614
0.045,1500.0,0.002,1,0.26154473588318783,0.11641588887183225,2.2466412310018504
0.045,2000.0,0.0015,0,0.2598479239667041,0.09771820351257068,2.6591557624498967
0.045,2000.0,0.0015,1,0.25600357058107515,0.12054597653273517,2.1237006654598334
0.045,2500.0,0.0012,0,0.2631292644281161,0.09680908277148866,2.7180224922615484
0.045,2500.0,0.0012,1,0.25706231224353815,0.11912924091750454,2.157843953874855
0.18,1500.0,0.004,0,1.0348034490441267,0.25652129932204404,4.033986463420355
0.18,1500.0,0.004,1,1.0289506412673313,0.2682930720599715,3.8351741003484805
0.18,2000.0,0.003,0,1.0165795648528027,0.27458510842754413,3.7022385178657697
0.18,2000.0,0.003,1,1.0154851935943339,0.2799744902893362,3.627063281890051
0.18,2500.0,0.0024,0,1.029503085723344,0.26391082640890784,3.9009505586868753
0.18,2500.0,0.0024,1,1.0195187057736907,0.2797173897287473,3.644817030368963
0.405,1500.0,0.006,0,2.4290464454298686,0.7102983658389656,3.41975508075513
0.405,1500.0,0.006,1,2.4281341775395955,0.7142694206378963,3.3994653941240953
0.405,2000.0,0.0045000000000000005,0,2.395078951185055,0.7452095470849496,3.2139670788624906
0.405,2000.0,0.0045000000000000005,1,2.3796515133430547,0.7619959775938173,3.1229187335835653
0.405,2500.0,0.0036000000000000003,0,2.4184940267287547,0.7258027106143179,3.3321645005730915
0.405,2500.0,0.0036000000000000003,1,2.3981716967795705,0.7473038022617569,3.2090987487570244
