age_s,count,mean_v,mean_a,var_v,var_a,cov_va,term_v,term_a,term_cov,hazard_empirical_hz,hazard_mean_hz,hazard_voltage_only_hz,hazard_full_gaussian_hz
0.0025,3092853.0,0.00012880089264297612,9.698372189020568e-07,8.969136408754642e-08,6.006192279308122e-10,2.9752161935129788e-09,0.17938272817509282,0.0288417353252376,-0.058314237392854386,0.22739254105272635,0.0,0.0,0.0
0.0075,2963951.0,9.67947847882652e-05,2.03041390912516e-06,8.951498801170565e-08,6.002733227599209e-10,2.9736495270520595e-09,0.1790299760234113,0.028825124958931404,-0.05828353073022037,9.99015510287991,8.790675111724948,10.514144956394968,10.208932614006335
0.0125,2827188.0,6.942743106292267e-05,2.740868689381728e-06,8.889416366088658e-08,5.998075471584105e-10,2.9649683176220194e-09,0.17778832732177316,0.028802758414546874,-0.05811337902539158,9.585634139493182,8.264707570438462,9.872791856274615,9.587613986344847
0.0175,2689531.0,4.831494748405495e-05,3.1712039542411507e-06,8.862641905881402e-08,5.995418227865537e-10,2.9612833547152316e-09,0.17725283811762804,0.02878999833021031,-0.05804115375241854,9.145941160079918,7.889652542771474,9.419715951209065,9.14816926473602
0.0225,2596906.0,3.1982977501443836e-05,3.4010688891428746e-06,8.84965060548528e-08,5.98635282893719e-10,2.9546968719166325e-09,0.1769930121097056,0.028746466284556387,-0.057912058689566,8.830783557650266,7.618926495278093,9.094124012051156,8.832719042911505
0.0275,2466223.0,1.9273077363161413e-05,3.4857289196067995e-06,8.845508319864809e-08,5.986119071806909e-10,2.9537137124745595e-09,0.17691016639729618,0.02874534378281678,-0.057892788764501366,8.60127480113026,7.421535758591175,8.857780078170405,8.603324795969217
0.0325,2371077.0,9.748829019208144e-06,3.462138978805481e-06,8.847010180447045e-08,5.971609461144857e-10,2.944492739482448e-09,0.1769402036089409,0.028675668632417602,-0.05771205769385598,8.44186245403281,7.283188128221479,8.692919986155118,8.44413831898303
0.0375,2265090.0,2.2717400864222207e-06,3.3492979767871377e-06,8.841471380967892e-08,5.971841248076128e-10,2.937965454347467e-09,0.17682942761935783,0.028676781673261563,-0.05758412290521035,8.326696064106756,7.1830232507453955,8.572417552361053,8.328159191866678
0.0425,2204896.0,-3.551030750158588e-06,3.185736078078733e-06,8.840573774588646e-08,5.955721397881945e-10,2.9335286170921826e-09,0.17681147549177292,0.028599374152629097,-0.057497160895006776,8.24345474967923,7.111247780236396,8.486606377304916,8.244871854504321
0.0475,2087858.0,-8.31296602569616e-06,2.9745343102362775e-06,8.832018024308957e-08,5.952402209151059e-10,2.9381122355181422e-09,0.17664036048617912,0.028583435408343388,-0.05758699981615559,8.179776972689712,7.058436949285751,8.422140332362916,8.181376623090857
0.0525,2010568.0,-1.2134846333317164e-05,2.7275227256884966e-06,8.843854999145248e-08,5.941778437714175e-10,2.9304533062508643e-09,0.17687709998290496,0.02853242005790347,-0.05743688480251694,8.139728953759194,7.021666511198178,8.380249477239719,8.14149008070996
0.0575,1922470.0,-1.457814108244709e-05,2.453125603639798e-06,8.839762284457315e-08,5.936040751497824e-10,2.9352969607001977e-09,0.1767952456891463,0.02850486768869255,-0.05753182042972388,8.12054350551936,7.006253356562781,8.36116969190135,8.121958988904725
0.0625,1862315.0,-1.6494088749377586e-05,2.1864930461822863e-06,8.83822642212923e-08,5.92897046932483e-10,2.938933260518887e-09,0.1767645284425846,0.028470916193697834,-0.05760309190617018,8.109786120878463,6.997718662984104,8.35072798664036,8.110962513401384
0.0675,1775948.0,-1.746791747000476e-05,1.9202162483281735e-06,8.842393277922488e-08,5.928699478672249e-10,2.9343783215280933e-09,0.17684786555844975,0.02846961489658414,-0.057513815101950624,8.116431778639186,7.002351672334888,8.35695320398571,8.117723122169814
0.0725,1711037.0,-1.884351626541411e-05,1.6450473976722522e-06,8.854631136432714e-08,5.919303908977378e-10,2.9334624799393307e-09,0.17709262272865428,0.02842449737090937,-0.05749586460681088,8.117810311622012,7.00196975450277,8.358542967314776,8.119046802795863
0.0775,1636072.0,-1.995319235300114e-05,1.3852401364304748e-06,8.832177275946525e-08,5.920310742120244e-10,2.941771692604272e-09,0.1766435455189305,0.028429332183661414,-0.05765872517504373,8.115003150296479,7.0042580848786145,8.357520627704353,8.116770995918946
0.0825,1593199.0,-2.0973429011938375e-05,1.110069537950637e-06,8.831138734677746e-08,5.916001021595905e-10,2.942982338203626e-09,0.17662277469355492,0.028408636905703534,-0.05768245382879107,8.120183724418442,7.008855777192853,8.36283291560591,8.121569456155717
0.08750000000000001,1508833.0,-2.1320348628089158e-05,8.516340305599242e-07,8.831551194138468e-08,5.911272333249758e-10,2.9327107083376407e-09,0.17663102388276936,0.028385929744265338,-0.05748112988341776,8.13723037251574,7.021755719388718,8.378293994223926,8.13803795090648
0.0925,1453153.0,-2.2061773064563144e-05,5.802947383780899e-07,8.845058370450001e-08,5.907104579716497e-10,2.9311056454082386e-09,0.17690116740900003,0.02836591619179862,-0.05744967065000148,8.148839731117528,7.0300201031024745,8.390421292316399,8.149910767220774
0.0975,1388183.0,-2.241132225411519e-05,3.350826551288798e-07,8.845039523830412e-08,5.905363260817377e-10,2.920968099152901e-09,0.17690079047660826,0.028357554378445043,-0.05725097474339686,8.163726649042603,7.042009328815722,8.404727422600729,8.165360812469338
0.10250000000000001,1344284.0,-2.2741187984236614e-05,9.357783034924202e-08,8.841622002684886e-08,5.898998859530295e-10,2.9173749248079685e-09,0.17683244005369772,0.02832699252346448,-0.057180548526236184,8.176261873323046,7.054040415869421,8.41851124907732,8.179078122845647
0.1075,1282069.0,-2.2935088906398966e-05,-1.1506599306012504e-07,8.84016889298381e-08,5.891631856374387e-10,2.9179830971305353e-09,0.1768033778596762,0.028291616174309805,-0.05719246870375849,8.18995131976721,7.065737997452052,8.432226444230752,8.192015777416161
0.1125,1234894.0,-2.2911581420160902e-05,-3.522274484685925e-07,8.846504057662506e-08,5.892611389074444e-10,2.9298244945252157e-09,0.17693008115325012,0.028296319890335483,-0.05742456009269423,8.209404819045664,7.082512135393499,8.453315635512409,8.210636986404003
