chi_target,theta1,sigma,Seed,Closure,mc_mean_hz,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total
0.045,1500.0,0.002,0,mean_only,7.377566666666667,-0.25007682299437367,0.2635080993350139,0.08305480730332376,0.09216611270779003,2.859056236541717,0.9011425659954501,7.377566666666667,7.127489843672294,0.9999820128932986,0.9999820128932986,1.798710670142256e-05,1.572337728048242e-05,1.7987106700514756e-05,24.028127797006164,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,0,variance_corrected,7.377566666666667,0.051104896019803815,0.09744872131529606,0.08297314558814362,0.09216611270779003,1.0573161702528822,0.9002565384438806,7.377566666666667,7.42867156268647,0.9999904380084952,0.9999904380084952,9.56199150481396e-06,9.51893361542914e-06,9.561991502952378e-06,27.090392539990717,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,0,joint_gaussian,7.377566666666667,-0.00033158398063934174,0.08298998131016033,0.08298931889059305,0.09216611270779003,0.9004392056034483,0.9004320183678384,7.377566666666667,7.377235082686028,0.999989164134483,0.999989164134483,1.0835865516978238e-05,1.0527740508608713e-05,1.0835865517641927e-05,95.74354831500386,2.0,False,0.001,0.0001,2.0,True,-4.1359030627651384e-25,4.103346499254633e-12
0.045,1500.0,0.002,1,mean_only,7.364133333333334,-0.2393663394871617,0.2599570892513859,0.10139745446789993,0.10428318373535077,2.4927997011589462,0.9723279519852959,7.364133333333334,7.124766993846173,0.9999819921301707,0.9999819921301707,1.8007869829306244e-05,1.580640429313828e-05,1.8007869827535915e-05,25.23661176400492,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,1,variance_corrected,7.364133333333334,0.06171058297827132,0.11887665866777931,0.10160444834994972,0.10428318373535077,1.139940826600229,0.974312872992072,7.364133333333334,7.425843916311606,0.9999904264778398,0.9999904264778398,9.57352216024443e-06,9.571588239339634e-06,9.573522158225137e-06,26.48784903700289,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,1,joint_gaussian,7.364133333333334,0.01029350778445896,0.10208301547842033,0.10156271829100819,0.10428318373535077,0.9789019842114333,0.9739127120318213,7.364133333333334,7.374426841117793,0.9999891512271813,0.9999891512271813,1.0848772818650154e-05,1.058615955691557e-05,1.084877281736977e-05,92.75822308499482,2.0,False,0.001,0.0001,2.0,True,-8.271806125530277e-25,1.9768540617722184e-11
0.045,1500.0,0.002,2,mean_only,7.390566666666667,-0.26626254671452443,0.2824347359830131,0.09419998039750344,0.10079821158504437,2.801981617944881,0.9345401958647456,7.390566666666667,7.124304119952144,0.9999819987858619,0.9999819987858619,1.8001214138085864e-05,1.5839886178014676e-05,1.80012141372165e-05,25.709744356005103,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,2,variance_corrected,7.390566666666667,0.03479588725665365,0.1004994412630837,0.09428352944292158,0.10079821158504437,0.9970359561220132,0.9353690701483697,7.390566666666667,7.425362553923322,0.9999904299180327,0.9999904299180327,9.570081967336108e-06,9.592045548501344e-06,9.570081966239112e-06,28.053394621005282,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,2,joint_gaussian,7.390566666666667,-0.01661733579763224,0.09571633361336772,0.09426282762242089,0.10079821158504437,0.9495836494342063,0.9351636913011148,7.390566666666667,7.373949330869036,0.9999891550917597,0.9999891550917597,1.0844908240326134e-05,1.0608194446231317e-05,1.08449082375728e-05,94.93406860000687,2.0,False,0.001,0.0001,2.0,True,-8.271806125530277e-25,1.089111177018554e-11
0.045,1500.0,0.002,3,mean_only,7.372600000000002,-0.25687980235107105,0.2726651384901366,0.09142781246382328,0.10502037430531143,2.596307052738685,0.8705721443919792,7.372600000000002,7.115720197648931,0.9999816338624405,0.9999816338624405,1.836613755945571e-05,1.6189971151489644e-05,1.8366137556818722e-05,8.780364616002771,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,3,variance_corrected,7.372600000000002,0.043847452622521724,0.10137784982027549,0.09140497433235262,0.10502037430531143,0.9653160207328292,0.8703546805748701,7.372600000000002,7.416447452622522,0.9999902262857426,0.9999902262857426,9.773714257366173e-06,9.767767191444567e-06,9.773714255146792e-06,9.780723311996553,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,3,joint_gaussian,7.372600000000002,-0.007502579763958808,0.09171258118991057,0.09140519047297793,0.10502037430531143,0.8732837013443419,0.8703567386576634,7.372600000000002,7.365097420236041,0.9999889269026415,0.9999889269026415,1.107309735848272e-05,1.0805717628262948e-05,1.1073097358053515e-05,47.803990077998606,2.0,False,0.001,0.0001,2.0,True,-8.271806125530277e-25,1.0871145266700753e-11
0.045,1500.0,0.002,4,mean_only,7.395033333333333,-0.2713345627043353,0.2831601128842289,0.08097656828154892,0.08776440485140814,3.2263662399766813,0.9226584333209853,7.395033333333333,7.123698770629,0.9999818256725256,0.9999818256725256,1.8174327474418384e-05,1.6051608194405868e-05,1.817432747373406e-05,9.494139037997229,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,4,variance_corrected,7.395033333333333,0.02970229700757139,0.08631938809651044,0.0810481974742807,0.08776440485140814,0.9835352754075615,0.9234745864397019,7.395033333333333,7.424735630340906,0.9999903335609566,0.9999903335609566,9.666439043432007e-06,9.680093558974426e-06,9.666439041920014e-06,24.95052491199749,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,1500.0,0.002,4,joint_gaussian,7.395033333333333,-0.02170719622697207,0.08388844749269046,0.08103128565373756,0.08776440485140814,0.9558367955063334,0.9232818907725715,7.395033333333333,7.373326137106362,0.9999890471088849,0.9999890471088849,1.0952891115079133e-05,1.071368308465876e-05,1.0952891114586551e-05,83.8483037410042,2.0,False,0.001,0.0001,2.0,True,-8.271806125530277e-25,1.0868245772136669e-11
0.045,2000.0,0.0015,0,mean_only,7.371400000000001,-0.24666109823229748,0.2597566959499809,0.08143613270341196,0.09381927553401578,2.768692195409265,0.8680106752037954,7.371400000000001,7.124738901767703,0.999981919478943,0.999981919478943,1.808052105700675e-05,1.5813608127319974e-05,1.808052105443461e-05,25.646956739990856,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
