amplitude,Model,baseline_hz,peak_hz,peak_latency_s,late_rate_hz,integrated_excess_spikes,bias_hz,rmse_hz,crmse_hz,mc_std_hz,nrmse,centered_nrmse,mc_mean_hz,closure_mean_hz
0.0015,MC,8.149204115098726,8.429612653715036,0.08539999999999992,8.149634584152116,0.02926534638478371,,,,,,,,
0.0015,mean_only,7.123253471325728,7.3801590232522,0.051000000000000156,7.131391514855108,0.07200962303903102,-1.017190837427229,1.0180127664153975,0.040899790205118594,0.05589073101791103,18.214339799727433,0.731781271424266,8.155091509903349,7.1379006724761185
0.0015,variance_corrected,8.39517124395398,8.693508293925188,0.05080000000000018,8.404700021053655,0.08376994184002035,0.257120269276078,0.2603431343187617,0.04083766293893346,0.05589073101791103,4.658073522697902,0.7306696869977674,8.155091509903349,8.412211779179428
0.0015,joint_gaussian,8.138554792088447,8.427211766114798,0.050899999999999945,8.147776642325585,0.08110175238611741,-3.9978776110337295e-05,0.040777462841869457,0.04077744324399833,0.05589073101791103,0.7295925835860279,0.7295922329398515,8.155091509903349,8.155051531127237
0.003,MC,8.149204115098726,8.69144902256792,0.06700000000000017,8.159529380340778,0.1111870155748383,,,,,,,,
0.003,mean_only,7.123253471325728,7.646136114790565,0.050899999999999945,7.139615150202107,0.1452268309720239,-1.018962149214293,1.019801161078678,0.04135875488948042,0.08761237421957459,11.639921531207989,0.4720652220407461,8.171758176570014,7.152796027355722
0.003,variance_corrected,8.39517124395398,9.002063664681666,0.05069999999999997,8.414245008663979,0.16870991226772422,0.2577357163834536,0.2609913156894243,0.04109461480053954,0.08761237421957459,2.9789321201971597,0.46905035009721346,8.171758176570014,8.429493892953467
0.003,joint_gaussian,8.138554792088447,8.725709441734526,0.050899999999999945,8.157018669114317,0.16334233084159094,2.5073026201231735e-05,0.04086339079745366,0.04086338310527871,0.08761237421957459,0.4664111794875187,0.46641109168970457,8.171758176570014,8.171783249596217
0.006,MC,8.149204115098726,9.300763212565501,0.05860000000000021,8.177818342190248,0.2815898823059899,,,,,,,,
0.006,mean_only,7.123253471325728,8.206481112746301,0.05080000000000018,7.156089618382762,0.2948497132888968,-1.0231731585781616,1.024133548859067,0.04434200563636238,0.16703198908781805,6.131361749638405,0.26547014065101815,8.206418176570015,7.183245017991853
0.006,variance_corrected,8.39517124395398,9.65108182574228,0.0506000000000002,8.433365807612043,0.342170329836148,0.25837956070613316,0.2617840949243226,0.04208224048993109,0.16703198908781805,1.5672692180339662,0.2519412043150974,8.206418176570015,8.464797737276147
0.006,joint_gaussian,8.138554792088447,9.353416659389435,0.05080000000000018,8.175532466671717,0.33127458115303937,-0.0004588856413232592,0.04143723512515256,0.041434694143741,0.16703198908781805,0.24807963643040068,0.24806442388683084,8.206418176570015,8.205959290928693
