J,c,Seed,NRMSE,RMSE,Status
2.0,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.8,0,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.8,0,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.8,0,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.8,0,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.8,0,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.8,0,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.8,0,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.8,2,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
0.8,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
2.0,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.5,2,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.0,2,inf,inf,BREAKDOWN_NUMERICAL
0.4,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
1.8,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.0,1,inf,inf,BREAKDOWN_NUMERICAL
1.0,0.5,0,inf,inf,BREAKDOWN_NUMERICAL
1.4,0.5,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
1.2000000000000002,0.2,0,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.8,1,inf,inf,BREAKDOWN_NUMERICAL
0.6000000000000001,0.0,0,inf,inf,BREAKDOWN_NUMERICAL
1.6,0.2,2,inf,inf,BREAKDOWN_NUMERICAL
0.2,0.2,1,inf,inf,BREAKDOWN_NUMERICAL
